% image,traveresability_mask
/tmp/dataset/traversability_mask/image/1.png,/tmp/dataset/traversability_mask/mask/1.png
/tmp/dataset/traversability_mask/image/101.png,/tmp/dataset/traversability_mask/mask/101.png
/tmp/dataset/traversability_mask/image/102.png,/tmp/dataset/traversability_mask/mask/102.png
/tmp/dataset/traversability_mask/image/103.png,/tmp/dataset/traversability_mask/mask/103.png
/tmp/dataset/traversability_mask/image/104.png,/tmp/dataset/traversability_mask/mask/104.png
/tmp/dataset/traversability_mask/image/105.png,/tmp/dataset/traversability_mask/mask/105.png
/tmp/dataset/traversability_mask/image/106.png,/tmp/dataset/traversability_mask/mask/106.png
/tmp/dataset/traversability_mask/image/107.png,/tmp/dataset/traversability_mask/mask/107.png
/tmp/dataset/traversability_mask/image/108.png,/tmp/dataset/traversability_mask/mask/108.png
/tmp/dataset/traversability_mask/image/109.png,/tmp/dataset/traversability_mask/mask/109.png
/tmp/dataset/traversability_mask/image/11.png,/tmp/dataset/traversability_mask/mask/11.png
/tmp/dataset/traversability_mask/image/111.png,/tmp/dataset/traversability_mask/mask/111.png
/tmp/dataset/traversability_mask/image/112.png,/tmp/dataset/traversability_mask/mask/112.png
/tmp/dataset/traversability_mask/image/113.png,/tmp/dataset/traversability_mask/mask/113.png
/tmp/dataset/traversability_mask/image/114.png,/tmp/dataset/traversability_mask/mask/114.png
/tmp/dataset/traversability_mask/image/115.png,/tmp/dataset/traversability_mask/mask/115.png
/tmp/dataset/traversability_mask/image/116.png,/tmp/dataset/traversability_mask/mask/116.png
/tmp/dataset/traversability_mask/image/117.png,/tmp/dataset/traversability_mask/mask/117.png
/tmp/dataset/traversability_mask/image/118.png,/tmp/dataset/traversability_mask/mask/118.png
/tmp/dataset/traversability_mask/image/119.png,/tmp/dataset/traversability_mask/mask/119.png
/tmp/dataset/traversability_mask/image/12.png,/tmp/dataset/traversability_mask/mask/12.png
/tmp/dataset/traversability_mask/image/121.png,/tmp/dataset/traversability_mask/mask/121.png
/tmp/dataset/traversability_mask/image/122.png,/tmp/dataset/traversability_mask/mask/122.png
/tmp/dataset/traversability_mask/image/123.png,/tmp/dataset/traversability_mask/mask/123.png
/tmp/dataset/traversability_mask/image/124.png,/tmp/dataset/traversability_mask/mask/124.png
/tmp/dataset/traversability_mask/image/125.png,/tmp/dataset/traversability_mask/mask/125.png
/tmp/dataset/traversability_mask/image/126.png,/tmp/dataset/traversability_mask/mask/126.png
/tmp/dataset/traversability_mask/image/127.png,/tmp/dataset/traversability_mask/mask/127.png
/tmp/dataset/traversability_mask/image/128.png,/tmp/dataset/traversability_mask/mask/128.png
/tmp/dataset/traversability_mask/image/129.png,/tmp/dataset/traversability_mask/mask/129.png
/tmp/dataset/traversability_mask/image/13.png,/tmp/dataset/traversability_mask/mask/13.png
/tmp/dataset/traversability_mask/image/131.png,/tmp/dataset/traversability_mask/mask/131.png
/tmp/dataset/traversability_mask/image/132.png,/tmp/dataset/traversability_mask/mask/132.png
/tmp/dataset/traversability_mask/image/133.png,/tmp/dataset/traversability_mask/mask/133.png
/tmp/dataset/traversability_mask/image/134.png,/tmp/dataset/traversability_mask/mask/134.png
/tmp/dataset/traversability_mask/image/135.png,/tmp/dataset/traversability_mask/mask/135.png
/tmp/dataset/traversability_mask/image/136.png,/tmp/dataset/traversability_mask/mask/136.png
/tmp/dataset/traversability_mask/image/137.png,/tmp/dataset/traversability_mask/mask/137.png
/tmp/dataset/traversability_mask/image/138.png,/tmp/dataset/traversability_mask/mask/138.png
/tmp/dataset/traversability_mask/image/139.png,/tmp/dataset/traversability_mask/mask/139.png
/tmp/dataset/traversability_mask/image/14.png,/tmp/dataset/traversability_mask/mask/14.png
/tmp/dataset/traversability_mask/image/141.png,/tmp/dataset/traversability_mask/mask/141.png
/tmp/dataset/traversability_mask/image/142.png,/tmp/dataset/traversability_mask/mask/142.png
/tmp/dataset/traversability_mask/image/143.png,/tmp/dataset/traversability_mask/mask/143.png
/tmp/dataset/traversability_mask/image/144.png,/tmp/dataset/traversability_mask/mask/144.png
/tmp/dataset/traversability_mask/image/145.png,/tmp/dataset/traversability_mask/mask/145.png
/tmp/dataset/traversability_mask/image/146.png,/tmp/dataset/traversability_mask/mask/146.png
/tmp/dataset/traversability_mask/image/147.png,/tmp/dataset/traversability_mask/mask/147.png
/tmp/dataset/traversability_mask/image/148.png,/tmp/dataset/traversability_mask/mask/148.png
/tmp/dataset/traversability_mask/image/149.png,/tmp/dataset/traversability_mask/mask/149.png
/tmp/dataset/traversability_mask/image/15.png,/tmp/dataset/traversability_mask/mask/15.png
/tmp/dataset/traversability_mask/image/151.png,/tmp/dataset/traversability_mask/mask/151.png
/tmp/dataset/traversability_mask/image/152.png,/tmp/dataset/traversability_mask/mask/152.png
/tmp/dataset/traversability_mask/image/153.png,/tmp/dataset/traversability_mask/mask/153.png
/tmp/dataset/traversability_mask/image/154.png,/tmp/dataset/traversability_mask/mask/154.png
/tmp/dataset/traversability_mask/image/155.png,/tmp/dataset/traversability_mask/mask/155.png
/tmp/dataset/traversability_mask/image/156.png,/tmp/dataset/traversability_mask/mask/156.png
/tmp/dataset/traversability_mask/image/157.png,/tmp/dataset/traversability_mask/mask/157.png
/tmp/dataset/traversability_mask/image/158.png,/tmp/dataset/traversability_mask/mask/158.png
/tmp/dataset/traversability_mask/image/159.png,/tmp/dataset/traversability_mask/mask/159.png
/tmp/dataset/traversability_mask/image/16.png,/tmp/dataset/traversability_mask/mask/16.png
/tmp/dataset/traversability_mask/image/161.png,/tmp/dataset/traversability_mask/mask/161.png
/tmp/dataset/traversability_mask/image/162.png,/tmp/dataset/traversability_mask/mask/162.png
/tmp/dataset/traversability_mask/image/163.png,/tmp/dataset/traversability_mask/mask/163.png
/tmp/dataset/traversability_mask/image/164.png,/tmp/dataset/traversability_mask/mask/164.png
/tmp/dataset/traversability_mask/image/165.png,/tmp/dataset/traversability_mask/mask/165.png
/tmp/dataset/traversability_mask/image/166.png,/tmp/dataset/traversability_mask/mask/166.png
/tmp/dataset/traversability_mask/image/167.png,/tmp/dataset/traversability_mask/mask/167.png
/tmp/dataset/traversability_mask/image/168.png,/tmp/dataset/traversability_mask/mask/168.png
/tmp/dataset/traversability_mask/image/169.png,/tmp/dataset/traversability_mask/mask/169.png
/tmp/dataset/traversability_mask/image/17.png,/tmp/dataset/traversability_mask/mask/17.png
/tmp/dataset/traversability_mask/image/171.png,/tmp/dataset/traversability_mask/mask/171.png
/tmp/dataset/traversability_mask/image/172.png,/tmp/dataset/traversability_mask/mask/172.png
/tmp/dataset/traversability_mask/image/173.png,/tmp/dataset/traversability_mask/mask/173.png
/tmp/dataset/traversability_mask/image/174.png,/tmp/dataset/traversability_mask/mask/174.png
/tmp/dataset/traversability_mask/image/175.png,/tmp/dataset/traversability_mask/mask/175.png
/tmp/dataset/traversability_mask/image/176.png,/tmp/dataset/traversability_mask/mask/176.png
/tmp/dataset/traversability_mask/image/177.png,/tmp/dataset/traversability_mask/mask/177.png
/tmp/dataset/traversability_mask/image/178.png,/tmp/dataset/traversability_mask/mask/178.png
/tmp/dataset/traversability_mask/image/179.png,/tmp/dataset/traversability_mask/mask/179.png
/tmp/dataset/traversability_mask/image/18.png,/tmp/dataset/traversability_mask/mask/18.png
/tmp/dataset/traversability_mask/image/181.png,/tmp/dataset/traversability_mask/mask/181.png
/tmp/dataset/traversability_mask/image/182.png,/tmp/dataset/traversability_mask/mask/182.png
/tmp/dataset/traversability_mask/image/183.png,/tmp/dataset/traversability_mask/mask/183.png
/tmp/dataset/traversability_mask/image/184.png,/tmp/dataset/traversability_mask/mask/184.png
/tmp/dataset/traversability_mask/image/185.png,/tmp/dataset/traversability_mask/mask/185.png
/tmp/dataset/traversability_mask/image/186.png,/tmp/dataset/traversability_mask/mask/186.png
/tmp/dataset/traversability_mask/image/187.png,/tmp/dataset/traversability_mask/mask/187.png
